"Voter turnout in U.S. presidential election, by state 2020",,
"Voter turnout rate in the presidential election in the United States as of December 7, 2020, by state",,
,,
United States,66.70,in %
Minnesota,80,in %
Colorado,76.40,in %
Maine,76.30,in %
Wisconsin,75.80,in %
Washington,75.70,in %
Oregon,75.50,in %
New Hampshire,75.50,in %
New Jersey,75.30,in %
Vermont,74.20,in %
Michigan,73.90,in %
Iowa,73.20,in %
Montana,73.10,in %
Virginia,73,in %
Massachusetts,72.10,in %
Florida,71.70,in %
Connecticut,71.50,in %
North Carolina,71.50,in %
Pennsylvania,71,in %
Delaware,70.70,in %
Maryland,70.70,in %
Nebraska,69.90,in %
Utah,69.20,in %
Alaska,68.80,in %
California,68.50,in %
Georgia,67.70,in %
Idaho,67.70,in %
Ohio,67.40,in %
Illinois,67,in %
Missouri,66.30,in %
South Dakota,66,in %
Arizona,65.90,in %
Kansas,65.90,in %
Rhode Island,65.70,in %
Nevada,65.40,in %
Kentucky,64.90,in %
Louisiana,64.60,in %
Wyoming,64.60,in %
South Carolina,64.50,in %
North Dakota,64.50,in %
District of Columbia,64.10,in %
New York,63.40,in %
Alabama,63.10,in %
Indiana,61.40,in %
New Mexico,61.30,in %
Texas,60.40,in %
Mississippi,60.20,in %
Tennessee,59.80,in %
West Virginia,57.60,in %
Hawaii,57.50,in %
Arkansas,56.10,in %
Oklahoma,55,in %
