Postal Code,Name,Poverty Estimate,Poverty Percent
US,United States,"38,371,394",11.9
AL,Alabama,"714,568",14.9
AL,Autauga County,"6,242",11.2
AL,Baldwin County,"20,189",8.9
AL,Barbour County,"5,548",25.5
AL,Bibb County,"3,549",17.8
AL,Blount County,"7,525",13.1
AL,Bullock County,"2,552",30.8
AL,Butler County,"3,954",20.6
AL,Calhoun County,"15,915",14.5
AL,Chambers County,"5,266",16.3
AL,Cherokee County,"3,827",14.7
AL,Chilton County,"6,094",13.9
AL,Choctaw County,"2,506",20.4
AL,Clarke County,"4,471",19.5
AL,Clay County,"1,818",14.2
AL,Cleburne County,"2,099",14.2
AL,Coffee County,"7,303",13.9
AL,Colbert County,"7,864",14.4
AL,Conecuh County,"2,701",22.9
AL,Coosa County,"1,808",17.4
AL,Covington County,"6,219",17.1
AL,Crenshaw County,"2,262",16.8
AL,Cullman County,"10,381",12.5
AL,Dale County,"7,440",15.5
AL,Dallas County,"9,471",26.7
AL,DeKalb County,"10,778",15.2
AL,Elmore County,"8,972",11.5
AL,Escambia County,"6,892",20.4
AL,Etowah County,"15,650",15.6
AL,Fayette County,"2,640",16.5
AL,Franklin County,"5,357",17.2
AL,Geneva County,"5,492",21.0
AL,Greene County,"2,210",27.9
AL,Hale County,"3,166",21.9
AL,Henry County,"2,743",16.2
AL,Houston County,"15,534",14.8
AL,Jackson County,"7,777",15.3
AL,Jefferson County,"92,310",14.4
AL,Lamar County,"2,348",17.4
AL,Lauderdale County,"12,630",13.9
AL,Lawrence County,"5,005",15.4
AL,Lee County,"28,901",17.9
AL,Limestone County,"10,285",10.4
AL,Lowndes County,"2,083",21.9
AL,Macon County,"4,543",27.9
AL,Madison County,"39,100",10.5
AL,Marengo County,"3,370",18.3
AL,Marion County,"4,843",16.8
AL,Marshall County,"14,754",15.4
AL,Mobile County,"71,398",17.6
AL,Monroe County,"4,552",22.5
AL,Montgomery County,"44,058",20.4
AL,Morgan County,"16,995",14.4
AL,Perry County,"2,443",30.7
AL,Pickens County,"4,050",22.7
AL,Pike County,"6,101",19.7
AL,Randolph County,"3,933",17.5
AL,Russell County,"11,702",20.3
AL,St. Clair County,"9,384",10.5
AL,Shelby County,"15,227",7.0
